Indicator_ID_legacy,MET_ID,MET_ID_legacy,Level,Risk concept,System,Factor,Sub-Factor,Indicator,Evidence type,Preference,Type,Metric,Usual data sources,MSNA module,MSNA indicator,Question KOBO Code,Remarks/Limitations,Acute needs threshold (4),Very acute needs threshold (5),Above or below,References for threshold,Evidence threshold,Factor threshold,
IND062,MET065,MET062,Contr. fact. individual and HH,Exposure,Food system,HH food security,Utilisation,Use of clean water for meal preparation,AN signal,1,num[0:1],% HH using clean water to prepare food,,,,,,0.4,0.2,Below,"Based on WHO/UNICEF guidance on safe food preparation and WASH–nutrition linkages. Threshold reflects widespread use of unsafe water for food preparation.
https://www.who.int/publications/i/item/9789241594639",1,3,
IND063,MET066,MET063,Contr. fact. individual and HH,Exposure,Food system,HH food security,Utilisation,Use of fuel to cook food,Supporting evidence,1,num[0:1],% HH not using fuel source to prepare food,,,,,,0.4,0.2,Below,,1,3,
IND064,MET067,MET064,Contr. fact. individual and HH,Exposure,Food system,HH food security,Utilisation,Ability to safely store food,Supporting evidence,1,num[0:1],% HH with safe storage equipment,MSNA,Household Food Utilization,% of households by reported food storage method,fsl_food_storing,,0.4,0.2,Below,,1,3,
IND077,MET080,MET077,Contr. fact. individual and HH,Exposure,Food system,HH food security,Utilisation,Qualitative reports of food sharing practices,Supporting evidence,3,int[0:1],"Qualitative reports of HHs sharing food with other houseohlds or individuals, especially received assistance",,,,,,1,,Above,,3,2,
IND078,MET081,MET078,Contr. fact. individual and HH,Exposure,Food system,HH food security,Utilisation,Use of surface water in food preparation,Supporting evidence,3,int[0:1],Qualitative reports of surface water use for food preparation,,,,,,1,,Above,,3,2,
IND099,MET116,MET103,Contr. fact. individual and HH,Exposure,Water system,HH Water security,Utilisation,Water storage,Supporting evidence,1,num[0:1],% of households with at least two water containers (one for storage and one for collection),MSNA,,,,,0.5,,Below,"No global threshold, often referenced in WASH programming guidance. ",1,1,
IND101,MET118,MET105,Contr. fact. individual and HH,Exposure,Water system,HH Water security,Utilisation,"Cost of water containers, treatment materials, or other items related to water utilization in the market",Supporting evidence,2,num,% change in price of water containers,,,,,,50,100,Above,,1,1,
IND102,MET119,MET106,Contr. fact. individual and HH,Exposure,Water system,HH Water security,Utilisation,"Cost of water containers, treatment materials, or other items related to water utilization in the market",Supporting evidence,2,num,% change in water treatment materials,,,,,,50,100,Above,,1,1,
IND103,MET120,MET107,Contr. fact. individual and HH,Exposure,Water system,HH Water security,Utilisation,"Cost of water containers, treatment materials, or other items related to water utilization in the market",Supporting evidence,2,int[0:1],Water containers not available in market,,,,,,1,,Above,,1,1,
IND104,MET121,MET108,Contr. fact. individual and HH,Exposure,Water system,HH Water security,Utilisation,"Cost of water containers, treatment materials, or other items related to water utilization in the market",Supporting evidence,2,int[0:1],Water treatment materials not available in market,,,,,,1,,Above,,1,1,
IND112,MET122,MET109,Contr. fact. individual and HH,Exposure,Water system,HH Water security,Utilisation,Qual reports of struggles with water treatment,Supporting evidence,3,int[0:1],"Indications that MOST of the popluation may be facing serious challenges with water utilization due to lack of options to treat water (drinking unsafe water directly, lack of fuel to boil water, etc.) and that it is putting them at heightened risk for water borne disease transmission",,,,,,1,,Above,,3,2,
IND111,MET123,MET110,Contr. fact. individual and HH,Exposure,Water system,HH Water security,Utilisation,Qual reports of struggles with water storage,Supporting evidence,3,int[0:1],"Indications that MOST of the popluation may be facing serious challenges with water utilization due to lack of water storage capacity (water consumption and use limited by number of containers, utilizing unclean/contaminated or broken water containers, lack of water containers in the market, etc.) and that it is putting them at heightened risk for water borne disease transmission",,,,,,1,,Above,,3,2,
