sub_factor,sub_factor_label,factor,system
quantity,Quantity,hh_water_consumption,water_system
quality,Quality,hh_water_consumption,water_system
availability,Availability,hh_water_security,water_system
access,Access,hh_water_security,water_system
utilisation,Utilisation,hh_water_security,water_system
consumption,Consumption,hh_water_security,water_system
quality,Quality,hh_water_security,water_system
availability,Availability,water_systems_infrastructure,water_system
accessibility,Accessibility,water_systems_infrastructure,water_system
quality,Quality,water_systems_infrastructure,water_system
mortality,Mortality,mortality,mortality
accessibility,Accessibility,market_functionality,market_functionality
functionality,Functionality,market_functionality,market_functionality
availability,Availability,market_functionality,market_functionality
exposure_to_elements,Exposure to elements,environmental_hygiene,living_conditions
exposure_to_elements,Exposure to elements,living_conditions,living_conditions
protection_from_vectors,Protection from vectors,living_conditions,living_conditions
overcrowding,Overcrowding,living_conditions,living_conditions
availability,Availability,sanitation_hygiene,living_conditions
accessibility,Accessibility,sanitation_hygiene,living_conditions
quality,Quality,sanitation_hygiene,living_conditions
acute_malnutrition,Acute Malnutrition,nutrition_status,health_outcomes
common_childhood_illnesses,Common childhood illnesses,health_status,health_outcomes
infectious_disease_outbreaks,Infectious disease outbreaks,health_status,health_outcomes
population_health_needs,Population health needs,health_status,health_outcomes
availability,Availability,health_services,health_nutrition_services
accessibility,Accessibility,health_services,health_nutrition_services
quality,Quality,health_services,health_nutrition_services
quality,Quality,nutrition_services,health_nutrition_services
access_to_nutrition,Access to nutrition,nutrition_services,health_nutrition_services
quantity_and_diversity_proxy,Quantity and diversity (proxy),food_consumption,food_system
quantity_proxy,Quantity (proxy),food_consumption,food_system
quantity,Quantity,food_consumption,food_system
diversity,Diversity,food_consumption,food_system
availability,Availability,hh_food_security,food_system
accessibility,Accessibility,hh_food_security,food_system
utilisation,Utilisation,hh_food_security,food_system
availability,Availability,livelihoods,food_system
accessibility,Accessibility,livelihoods,food_system
quality_availability,Quality & Availability,sanitation_hygiene,living_conditions
